| 一级    | 二级   | 数量 | 原声总结                             | 小类    | 小小类    | 数量 | 原声举例                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| 卡顿    | 日常使用 |    | 华为 刷小红书视频 卡顿                     | 日常APP | 小红书    | 1  | 真的没人觉得纯血鸿蒙卡吗？上周换了新手机，自带鸿蒙5.0，当天晚上刷小红书，视频页面就卡顿。换到吃鸡，页面卡了5次。第二天抖音也卡，就在卡的页面不动了。比我旧手机还卡，旧手机卡还能理解，毕竟内存不够了！！！可谁曾想新手机也卡！！！第三天更新到6.0。以上问题依然存在！我能理解那些软件功能适配不全，我也接受，但我接受不了，我就刷个视频也卡！！不是很丝滑吗？我完全没感受到鸿蒙[话题] 遥遥领先遥遥领先[话题] @华为终端客户服务 @华为终端 鸿蒙6.0[话题]                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 卡顿    | 日常使用 |    | 华为 抖音 卡顿                         | 日常APP | 抖音     | 1  | 真的没人觉得纯血鸿蒙卡吗？上周换了新手机，自带鸿蒙5.0，当天晚上刷小红书，视频页面就卡顿。换到吃鸡，页面卡了5次。第二天抖音也卡，就在卡的页面不动了。比我旧手机还卡，旧手机卡还能理解，毕竟内存不够了！！！可谁曾想新手机也卡！！！第三天更新到6.0。以上问题依然存在！我能理解那些软件功能适配不全，我也接受，但我接受不了，我就刷个视频也卡！！不是很丝滑吗？我完全没感受到鸿蒙[话题] 遥遥领先遥遥领先[话题] @华为终端客户服务 @华为终端 鸿蒙6.0[话题]                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 卡顿    | 日常使用 |    | 华为 打开关闭APP、打开链接、app跳转 卡顿         | 其他    |        | 2  | 📱到底是不是我的错觉，最近我的mate60pro＋巨巨巨巨卡，打开app要等很久，点击任何链接都要等很久才显示出来，app之间跳转也巨巨巨巨卡[抓狂R]。 📱从mate20到mate30到mate40，都没有这样卡过…内存也没满，为啥会这样啊……是只有我这样吗[抓狂R]？ 📱而且之前人脸识别支付莫名其妙的突然不能用了，大概得有大半年的时间，我也一直没去售后[抓狂R]前两个月想起来打电话给售后服务，查不出原因，让去线下。结果正准备去，突然好了一部分，就是某些支付环境可以，有些还是无法识别…好无语😅                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 卡顿    | 日常使用 |    |                                  |       |        |    | 你们的华为mate60pro卡吗？我是卡的相当无语了，刷抖音掉帧、卡顿，进app反应慢，一直转圈圈，还不如我妈那1000多的手机反应快，还是换苹果吧，失望😔😔                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 卡顿    | 日常使用 |    | 华为 淘宝、京东 卡顿                      | 日常APP | 淘宝京东   | 1  |  流畅度：整体流畅度基本是没问题的，给我留下最深的印象就是淘宝和京东，体验特别差，就是卡、慢。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 卡顿    | 日常使用 |    | 华为 特斯拉APP定位 卡顿                   | 日常APP | 特斯拉    | 1  | 记录从苹果转华为一些应用程序使用的变化。 什么要换华为？ [刀R]苹果出现烧卡，开会开着开着断掉了，影响工作。 [刀R]信号太差，演唱会完全失联。 [刀R]电池已经拉胯到极致。 目前p90promax 用了三四天了，体验如下: 更新中 1，手机太重了。 2，不少应用没有鸿蒙适配版本，甚至有的还得出境。 3，特斯拉界面显示很难看，定位卡顿，不显示车速。在华为钱包里进行了车钥匙绑定，车速可以显示了，定位也及时多了，未罚站） 4,我的老天，高德导航造孽了，志玲姐姐声音变了，断句也很奇葩，最奇葩的是他居然给我导航到死胡同。 5，最近开小白的时候把蓝牙从原先m40p切换到90，同样qq音乐播放器，声音小了，音质也变差了，为此我这几天一度怀疑自己听力下降了。今晚切换回40，顿时听力恢复。 基于目前的体验，已经决定继续保持苹果和华为共存。pura90promax[话题]                                                                                                                                                                                                                                                                                         |
| 卡顿    | 日常使用 |    | 华为 输入法 响应慢                       | 系统功能  | 输入法    | 1  | 输入法响应的速度比苹果慢                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| 卡顿    | 日常使用 |    | 苹果 打开关闭APP、app滑动                 | 其他    |        | 1  | 关于华为 1. 屏幕精细度不足： 感知力较强的用户能明显发现华为屏幕不如 Apple 细腻。尤其在白色背景或恢复出厂设置界面，四角有严重的锯齿感。 2. 马达体验差： 震感极其廉价。室外开启震动时极易漏接电话，体验感很糟糕。 3. 外放水平一般： 扬声器质感单薄，甚至不如苹果五年前的水平。 • 总结： 除了上述三点急需改进，其他方面全面超越苹果。作为国产品牌，这点确实让人自豪。 关于苹果 1. 系统体验糟糕： iOS 26 是苹果最差的系统。从首发至今，各版本在滑动、打开/关闭 App 等场景均有明显卡顿，严重拖垮硬件体验。 2. 版本现状： 升级 iOS 26.5 后卡顿稍有缓解，但稳定性仍需进一步观察。 双持[话题] 华为与苹果[话题] iPhone[话题] 华为Mate[话题] 数码科技[话题] 真实体验[话题] 我的数码生活[话题] 国产之光[话题] iPhone[话题] 苹果手机[话题] 华为Mate[话题] 华为手机[话题] 手机对比[话题] 手机体验[话题] 系统流畅度[话题] 日常使用体验[话题] 手机测评[话题] 科技数码[话题] 数码爱好者[话题] 数码控[话题] 数码生活[话题] 我的数码生活[话题] 真实体验[话题] 吐槽[话题] 避坑指南[话题] 购买参考[话题] 性价比[话题] 新品手机[话题] 科技测评[话题] 手机使用技巧[话题] 手机开箱[话题] 数码分享[话题] 使用感受[话题] 性能测试[话题] 双持手机[话题] iOS体验[话题] 安卓体验[话题] 数码测评[话题] |
| 卡顿    | 日常使用 |    | 苹果 新机下载软件、导入数据 卡顿                | 其他    |        | 1  |  现在换了苹果17pro，谁知道新机还在下载各种软件，导入信息文件，就感觉到了卡顿，我也是官网买的啊，不管怎么说，新机子不应该有点卡顿，还是说这是苹果常态？而且系统真没有华为的流畅，没用到两小时，心里莫名失落，甚至有点后悔！和我的华为价格相差4000块，真是没啥性价比[失望R]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 卡顿    | 日常使用 |    | 苹果 扫码付卡 卡顿                       | 系统功能  |        | 1  | 17pro为什么这么卡，真是要疯了，真的受不了手机有一点卡顿，日常微信卡住不动，退后台好几次，微信拍小视频也卡顿，扫码付款卡住付不了，真的很社死，才用了几个月摄像头还有黑点，怕不是买到残次品了，又没有时间去等维修，手机里面的视频照片资料贼多，真的没招了，真的是我用苹果以来最拉的一台手机apple售后[话题] Apple手机卡顿[话题]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 卡顿    | 日常使用 |    | 苹果 声音调节 卡顿                       | 系统功能  |        | 1  | 要不是我在实体店买的 真的怀疑是假货…… 微信打视频黑屏卡顿 打字卡顿 手机慢半拍 声音调节卡顿…… 要不是我老十四摔得稀烂，哪轮得到你上位！ 苹果17pro[话题]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 卡顿    | 日常使用 |    | 苹果 负一屏 卡顿                        | 系统功能  |        | 1  | 感觉小米是最中庸（实用的） 华为是最有前瞻性的，很多功能缺失但是也有很多很新的功能。 苹果？你们苹果用户的嘴真严呀，负一屏卡成这样都一声不吭的[e][doge]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 卡顿    | 日常使用 |    | 苹果 闲鱼APP 闪退                      | 日常APP | 闲鱼     | 1  | 今天气急败坏想找代打打开咸鱼软件闪退。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 卡顿    | 日常使用 |    | 苹果 微信 网络慢                        | 日常APP | 微信     | 1  | 信号啊信号！！！我真的感觉像4G一样，打开微信每次都要转几圈，电梯厕所直接断网                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 卡顿    | 日常使用 |    | 苹果 剪视频 速度慢                       | 其他    |        | 1  | 尝试了一段时间，发现还是只用一个手机更适合我 原本想分2个手机用，一个工作，一个生活 工作是苹果，生活是安卓 后来发现这样不行 主要是因为，我需要发图片和视频到APP上，小红书登陆，一次只能在一个设备上，我需要两个手机来回切换，很麻烦 小红书绑定的是微信，两个手机换着登陆，这中间的信息会消失 苹果剪辑视频的速度也很慢，效率不高，需要我等很久发热                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 卡顿    | 日常使用 |    | 仅提及                              |       |        | 7  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 卡顿    | 长期使用 | 26 | 苹果 使用两年 卡顿                       |       |        | 2  | 是谁说的iPhone用四五年都不卡呀，我用了两年多都开始卡了。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 卡顿    | 长期使用 |    |                                  |       |        |    | 苹果用了两年多了，感觉各方面的性能变慢了一点，系统方面也没有很流畅了，感觉还不错，正在考虑要不要换一个mate系列的高配买手机求推荐[话题] 国产手机[话题] 手机数码科技[话题]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| 卡顿    | 长期使用 |    | 华为 使用三年 卡顿                       |       |        | 1  | 华为手机p60pro用了3年了，挺卡顿的。？ 苹果p17pro值得买吗？？ 目测用8年。安卓和苹果[话题]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 卡顿    | 长期使用 |    | 仅提及                              |       |        | 23 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 卡顿    | 打游戏  | 14 | 华为 吃鸡 卡顿                         | 吃鸡    |        | 1  | 真的没人觉得纯血鸿蒙卡吗？上周换了新手机，自带鸿蒙5.0，当天晚上刷小红书，视频页面就卡顿。换到吃鸡，页面卡了5次。第二天抖音也卡，就在卡的页面不动了。比我旧手机还卡，旧手机卡还能理解，毕竟内存不够了！！！可谁曾想新手机也卡！！！第三天更新到6.0。以上问题依然存在！我能理解那些软件功能适配不全，我也接受，但我接受不了，我就刷个视频也卡！！不是很丝滑吗？我完全没感受到鸿蒙[话题] 遥遥领先遥遥领先[话题] @华为终端客户服务 @华为终端 鸿蒙6.0[话题]                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 卡顿    | 打游戏  |    | 华为 王者 掉帧                         | 王者    |        | 1  |  手机Mate60Pro：麒麟芯片的代差导致性能不好，夏天时候玩王者温度一上去，60帧都不咋稳得住。反正玩游戏的话买华为前两年的手机还是有待商榷（今年Mate80PM性能应该还行）                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| 卡顿    | 打游戏  |    | 华为 燕云 卡顿                         | 燕云    |        | 1  | 买华为mate80玩游戏一玩一个不吱声 玩燕云打侠境卡到一动不动，下地掉帧，图片跟雪花片一样                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 卡顿    | 打游戏  |    | 华为 原神 掉帧                         | 原神    |        | 1  | 华为麒麟9020+鸿蒙Next，日常流畅度不输苹果！但《原神》高画质帧率波动明显，户外用5G发热更严重。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| 卡顿    | 打游戏  |    | 苹果 发烫、掉帧、网络卡顿                    | 其他    |        | 1  | 正常输就算了，因为手机问题输掉就很恼火 打着打着角色漂移，技能衔接不上被对面跑了，发烫、掉帧、网络卡顿，我都为了保帧率开中画质了还卡 我敢肯定不是网络问题。用红米玩的巨流畅，还不发烫，画质还是高画质 而红米1709元、苹果13999+1599不带充电器 艹！ 苹果16[话题] 手游[话题] 王者荣耀[话题] 红米手机[话题]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 卡顿    | 打游戏  |    | 苹果 代号鸢 操作卡顿                      | 代号鸢   |        | 1  | 一般手机默认的60帧，看起来流畅不卡顿应该是过渡掉了一些动画，所以ui点击反应很快，高刷让动画变得流畅，补足了动画（不是很专业的解说👉🏻👈🏻）所以录屏的时候看不出来任何问题，只能看出来动画流畅，实际上点击的时候就会出来反应不灵敏，虽然很早就跟客服反馈过了但好像并没有用[呃R][呃R][呃R]如果想要玩鸢子流畅一点的可以开这个限制帧率，个人体感确实灵敏一些，但是手机使用很不舒服（尤其是开app关app动画不流畅）介意的要么换设备玩，要么只能接受（果子的自适应[嘻嘻R]代号鸢[话题] 如鸢[话题]                                                                                                                                                                                                                                                                                                                                                                                                                           |
